keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
GCOUNT,Number of data groups,Structural,integer,number of groups,SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST,True,"GCOUNT specifies the number of data groups present in a variable-length array FITS file. It is primarily used for specialized FITS structures that contain multiple, often differing, data arrays within a single HDU, rather than a simple image or table.",5,This keyword is a low-level structural detail for specialized FITS files and holds almost no direct value for typical end-users.,
XTENSION,"Type of extension (IMAGE, BINTABLE, TABLE)",Structural,string,FITS extension type,SCI; ERR; DQ; GROUPDQ; REFOUT; ASDF,FITS Standard; JWST; HST,True,"XTENSION indicates the type of data stored in a FITS extension, such as an IMAGE (for images or multi-dimensional arrays), BINTABLE (for binary tables), or TABLE (for ASCII tables). This keyword helps software understand how to correctly interpret the data structure within that specific FITS High Definition Unit (HDU).",65,"While structural, XTENSION informs the user about the fundamental type of data (image vs. table) in an HDU, which impacts how they might interact with it.",
EXTNAME,Name of the extension,Structural,string,Extension name,SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST; TESS; Kepler; GALEX,False,"EXTNAME provides a descriptive name for a FITS extension, helping to identify its content and purpose within a multi-HDU FITS file. For example, it might be 'SCI' for science data, 'ERR' for error data, or 'DQ' for data quality information.",85,EXTNAME is highly useful for users to quickly identify the purpose and content of different data components within a multi-HDU FITS file.,
EXTVER,Version number of the extension,Structural,integer,Extension version number,SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST,False,"EXTVER specifies a version number for a FITS extension, which is useful when multiple extensions within the same FITS file share the same EXTNAME. This allows for distinguishing between different versions or instances of a particular data type, like 'SCI, EXTVER=1' and 'SCI, EXTVER=2'.",60,"EXTVER is useful for distinguishing between multiple instances or versions of similarly named data extensions, particularly in complex multi-HDU files.",
EXTLEVEL,Hierarchical level of the extension,Structural,integer,Hierarchical level of the extension,SCI,FITS Standard,False,"EXTLEVEL indicates the hierarchical level of a FITS extension, primarily used in more complex FITS structures where data might be nested or organized in a tree-like fashion. It helps define the relationship between extensions within a multi-HDU FITS file.",15,EXTLEVEL is a highly technical structural keyword for complex FITS hierarchies and has minimal direct relevance for typical end-users.,
BSCALE,Linear scaling factor for data values: physical = BZERO + BSCALE × array_value,Data Scaling,float,scale factor for array value to physical value,SCI; REFOUT,FITS Standard; JWST; HST; TESS; Pan-STARRS,False,"This keyword specifies the linear scaling factor used to convert raw, stored pixel values into meaningful physical units. The actual physical value of a pixel is calculated as (BZERO + BSCALE × array_value). It is crucial for converting arbitrary digital numbers into scientifically interpretable quantities like flux or intensity.",85,"It's essential for converting raw pixel counts into meaningful physical units, which is key for quantitative analysis and accurate data display.",
BZERO,Zero point offset for data values: physical = BZERO + BSCALE × array_value,Data Scaling,float,physical value for an array value of zero,SCI; REFOUT,FITS Standard; JWST; HST; TESS; Pan-STARRS,False,"This keyword represents the zero-point offset applied when converting raw, stored pixel values into physical units. The formula for conversion is (BZERO + BSCALE × array_value), meaning BZERO shifts the entire scale. It works in conjunction with BSCALE to ensure pixel values reflect true physical quantities.",85,"It works with BSCALE to convert raw pixel values into meaningful physical units, critical for quantitative analysis and accurate data representation.",
BUNIT,"Physical unit of the data array values (e.g., DN, MJy/sr, electrons/s)",Data Scaling,string,physical units of the data array values,SCI,FITS Standard; JWST; HST; TESS; Kepler; Spitzer,False,"This keyword specifies the physical units of the data array values after they have been scaled by BSCALE and BZERO. Examples include 'Jy/pixel' for flux density, 'MJy/sr' for surface brightness, or 'electrons/s' for count rates. It is absolutely fundamental for understanding what the numbers in the image or table actually represent.",95,"This keyword directly tells users the physical units of the data, which is fundamental for understanding and interpreting any quantitative measurement.",
BTYPE,"Type of data (e.g., surface brightness, flux)",Data Scaling,string,Type of data,SCI,FITS Standard; JWST,False,"This keyword provides a high-level description of the type of data contained within the array, such as 'FLUX', 'SURFACE BRIGHTNESS', 'ERROR', or 'DQ' (Data Quality). It helps users quickly understand the nature and purpose of the data, offering context beyond just the units.",80,"It helps users understand the specific nature or type of data contained in the array, providing crucial context for interpretation.",
BLANK,Value representing undefined pixels in integer arrays,Data Scaling,integer,Value representing undefined pixels,PRIMARY; SCI,FITS Standard,False,"For FITS files storing integer data, this keyword specifies a particular integer value that should be interpreted as 'no data,' 'undefined,' or 'missing.' Pixels with this value are typically ignored in calculations or rendered distinctly in visualizations, preventing erroneous analysis of invalid regions.",75,"It identifies undefined or invalid pixel values, which is important for accurate data visualization and preventing incorrect analysis of missing information.",
DATAMAX,Maximum data value in the array,Data Scaling,float,Maximum data value,PRIMARY; SCI,FITS Standard; HST; Pan-STARRS,False,"This keyword stores the maximum pixel value found within the image data array. It's important for understanding the range of brightness in an image, helping users set appropriate display scales to visualize features, and quickly identify potentially saturated regions.",75,This value is commonly useful for setting display ranges and quickly assessing data quality or dynamic range.,
DATAMIN,Minimum data value in the array,Data Scaling,float,Minimum data value,PRIMARY; SCI,FITS Standard; HST; Pan-STARRS,False,"This keyword stores the minimum pixel value found within the image data array. It helps users understand the lowest brightness levels in an image, useful for setting display scales, identifying background levels, or assessing noise characteristics.",75,This value is commonly useful for setting display ranges and quickly assessing data quality or background levels.,
DATE,File creation date in UTC (YYYY-MM-DDThh:mm:ss format),Time,string,UTC date file created,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,False,"This keyword indicates the UTC date and time when the FITS file itself was created. It's a file system timestamp rather than an observation time, useful for tracking data provenance and understanding when a particular data product was generated or last processed.",50,"This keyword is moderately useful for data management and provenance tracking, but not directly tied to the astronomical observation itself.",
DATE-OBS,Date of observation start (UTC) in YYYY-MM-DD or YYYY-MM-DDThh:mm:ss format,Time,string,UTC date at start of exposure,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Chandra; Pan-STARRS; SwiftUVOT; XMM-OM,False,"This keyword records the UTC date and time when the astronomical observation actually began. It is a fundamental piece of information for any astronomical data, allowing users to know exactly when the celestial event was captured and enabling time-domain studies.",95,This is an essential piece of metadata for understanding when the astronomical observation occurred.,
DATE-BEG,Date-time of observation start (ISO 8601 format),Time,string,Date-time start of exposure,PRIMARY,FITS Standard; JWST; TESS,False,"Similar to DATE-OBS, this keyword specifies the UTC date and time of the observation's beginning, often in a standardized ISO 8601 format. It is crucial for precise timing analyses, correlating observations with other datasets, and placing the observation in its temporal context.",95,"This is an essential piece of metadata for understanding when the astronomical observation occurred, especially with its precise time component.",
DATE-END,Date-time of observation end (ISO 8601 format),Time,string,Date-time end of exposure,PRIMARY,FITS Standard; JWST; TESS; HST,False,"This keyword specifies the exact date and time when the observation concluded, formatted according to the ISO 8601 standard. It's crucial for understanding the total duration of an exposure and for precise scheduling or time-series analysis when combined with the start time.",85,"It is very useful for precise timing, calculating exposure duration, and understanding the full observational window for analysis.",
TIME-OBS,Time of observation start (UTC) in hh:mm:ss format,Time,string,UTC time at start of exposure,PRIMARY,FITS Standard; JWST; HST; GALEX; Pan-STARRS,False,"This keyword indicates the precise Universal Coordinated Time (UTC) when the astronomical observation officially began, typically in a hh:mm:ss format. It's fundamental for time-stamping data, correlating observations with events, and determining sidereal time at the start of the exposure.",95,This keyword is essential for all users to understand the precise start time of the observation.,
TIMESYS,"Principal time system for time-related keywords (e.g., UTC, TDB, TT)",Time,string,principal time system for time-related keywords,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler,False,"This keyword specifies the particular time scale system used for other time-related keywords in the FITS header, such as UTC (Coordinated Universal Time) or TDB (Barycentric Dynamical Time). It's vital for ensuring accurate conversions and comparisons of timing information across different datasets or astronomical calculations.",75,This keyword is important for advanced users who need to perform precise time conversions or compare datasets with different time systems.,
TIMEUNIT,"Default unit for time values (e.g., 's' for seconds, 'd' for days)",Time,string,Default unit applicable to all time values,PRIMARY,FITS Standard; JWST,False,"This keyword defines the standard unit of measure for any numerical time values present in the FITS header that don't explicitly specify their own units, such as 's' for seconds or 'd' for days. It ensures unambiguous interpretation of time-related data.",70,This keyword is important for correctly interpreting numerical time values and ensuring proper display or calculation of durations.,
MJD-OBS,Modified Julian Date of observation start,Time,float,Modified Julian Date of observation start,PRIMARY,FITS Standard; JWST; HST; TESS; Pan-STARRS,False,"This keyword provides the Modified Julian Date (MJD) corresponding to the start of the observation, expressed as a floating-point number. MJD is a widely used astronomical time system that simplifies calculations by counting days continuously from a specific epoch, making it ideal for precise timing and long-term event tracking.",90,"This keyword is highly relevant for precise astronomical timing, calculations, and comparing observation epochs across different datasets.",
MJD-BEG,Modified Julian Date of exposure start,Time,float,[d] exposure start time in MJD,SCI,FITS Standard; JWST; TESS,False,"This keyword specifies the exact Modified Julian Date (MJD) when an astronomical observation began. It's crucial for precisely timing events, correlating observations with other data, and accounting for celestial motion or instrumental changes over time.",95,"Users often need the precise start time of an observation for analysis, correlation, and historical context.",
MJD-MID,Modified Julian Date of exposure midpoint,Time,float,Modified Julian Date of exposure midpoint,PRIMARY,JWST,False,"This keyword gives the Modified Julian Date (MJD) corresponding to the exact midpoint of an astronomical exposure. It's often considered the most representative time for the observation, particularly for objects with changing positions or fluxes.",98,"The midpoint time is frequently the most representative time for an observation, essential for many astronomical analyses.",
MJD-AVG,Modified Julian Date of exposure midpoint (average),Time,float,[d] exposure mid-point in MJD,SCI,FITS Standard; JWST,False,"Similar to MJD-MID, this keyword represents the average or midpoint Modified Julian Date (MJD) of an exposure or data collection period. It provides a single representative timestamp for the observation, important for linking data to ephemerides or other time-variable phenomena.",97,"This keyword provides a key representative timestamp for the observation, crucial for time-sensitive analysis.",
MJD-END,Modified Julian Date of exposure end,Time,float,[d] exposure end time in MJD,SCI,FITS Standard; JWST; TESS,False,This keyword indicates the Modified Julian Date (MJD) at which an astronomical observation concluded. It's important for calculating the total duration of an exposure and for understanding the temporal boundaries of the collected data.,94,The end time of an observation is vital for understanding the observation's duration and its temporal context.,
EXPSTART,Exposure start time in Modified Julian Date,Exposure,float,[d] exposure start time in MJD,PRIMARY,JWST; HST,False,"This keyword provides the start time of the exposure in Modified Julian Date (MJD). It's a fundamental timestamp indicating when data collection began, essential for understanding the temporal context of an observation and for precise astrometric or photometric analysis.",96,Users need the precise start time of an observation to understand its temporal context and for accurate data analysis.,
EXPMID,Exposure mid time in Modified Julian Date,Exposure,float,[d] exposure mid time in MJD,PRIMARY,JWST; HST,False,"This keyword indicates the exact midpoint of the observation's exposure, expressed as a Modified Julian Date (MJD). It's crucial for time-sensitive analyses, such as tracking variable stars, analyzing transient events, or aligning observations with precise ephemeris data. Knowing the precise middle of the exposure provides the most accurate timestamp for the collected photons.",85,"Provides a precise timestamp for the observation, critical for time-domain astronomy or linking to ephemeris data.",
EXPEND,Exposure end time in Modified Julian Date,Exposure,float,[d] exposure end time in MJD,PRIMARY,JWST; HST,False,"This keyword specifies the exact moment the observation concluded, expressed as a Modified Julian Date (MJD). While EXPMID gives the center point, EXPEND is vital for understanding the full duration of an event, coordinating follow-up observations, or precisely marking the end of data collection in time-sensitive studies. It complements EXPMID and EXPTIME to fully define the observation's temporal bounds.",80,"Pinpoints the conclusion of the observation, useful for precise event timing and coordinating subsequent data.",
EXPTIME,Exposure time in seconds,Exposure,float,[s] Exposure time,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Chandra; Pan-STARRS; SwiftUVOT; XMM-OM,False,"This is a fundamental keyword indicating the total duration, in seconds, that the detector was open and collecting light from the astronomical source. It directly impacts the signal-to-noise ratio and the overall brightness of the captured image, making it essential for understanding the quality and depth of the observation. A longer exposure generally means more light collected and a clearer image.",98,"A fundamental parameter that directly indicates how long light was collected, crucial for understanding signal strength and data quality.",
EFFEXPTM,Effective exposure time corrected for dead time (seconds),Exposure,float,[s] Effective exposure time,PRIMARY,JWST,False,"This keyword represents the 'effective' exposure time, corrected for any periods where the detector was not actively collecting useful photons, known as 'dead time.' This can include time spent on readout, shutter operations, or other instrument overheads. It provides a more accurate measure of the true integration duration for scientific analysis, particularly for precise photometry and flux calculations.",75,"Provides a more accurate exposure duration by accounting for periods of detector inactivity, important for precise scientific measurements.",
EFFINTTM,Effective integration time (seconds),Exposure,float,[s] Effective integration time,PRIMARY,JWST,False,"This keyword specifies the effective integration time, which is the total time the detector was actively accumulating photons, often accounting for instrument-specific readout patterns or multiple non-destructive reads within an exposure. It's particularly relevant for instruments with complex observing strategies, like JWST, to provide a precise measure of the actual photon collection duration, which can differ from the raw exposure time.",60,"A specialized measure of actual photon collection time, particularly useful for understanding complex instrument readout modes like those on JWST.",
DURATION,Total duration of exposure: integration time × number of integrations (seconds),Exposure,float,[s] Total duration of exposure,PRIMARY,JWST,False,"This keyword indicates the total time the detector was actively collecting light, calculated as the product of the integration time for a single readout and the total number of such integrations. It represents the overall light-gathering duration for the observation, ignoring overheads. This is a fundamental measure of the exposure's depth.",95,Users frequently check this value to understand how much light was collected for the observation and its overall depth.,
XPOSURE,Effective exposure time in seconds (in SCI extension),Exposure,float,[s] Effective exposure time,SCI,JWST,False,"This keyword provides the effective exposure time in seconds, typically after accounting for any periods where the detector was not actively collecting usable photons (e.g., due to detector resets or non-science frames). It's a refined and often more accurate measure of the actual science exposure duration.",98,"This value provides the most accurate measure of the effective integration time for the science data, which is crucial for analysis.",
TELAPSE,Total elapsed exposure time in seconds,Exposure,float,[s] Total elapsed exposure time,SCI,JWST,False,"This keyword records the total wall-clock time that elapsed during the entire exposure, from the start of the first integration to the end of the last. It includes not only the photon collection time but also any overheads between integrations or readouts, providing insight into the total observation duration.",75,"While useful for understanding observation overheads and scheduling, it's less critical for interpreting the direct science content of an individual image compared to effective exposure time.",
TEXPTIME,Total exposure time of all pointings in a resampled product (seconds),Resampling,float,[s] Total exposure time for all pointings,PRIMARY,JWST,False,"Specific to resampled or combined data products, this keyword indicates the sum of the effective exposure times from all individual input observations that contributed to the final product. It represents the total light-gathering duration accumulated in the combined image, crucial for assessing its signal-to-noise.",95,"For resampled products, this value is essential for understanding the overall depth and signal-to-noise of the combined image.",
NINTS,Number of integrations within the exposure,Exposure,integer,Number of integrations in exposure,PRIMARY,JWST,False,"This keyword specifies the number of individual integrations performed within a single exposure. An integration is a sequence of detector reads, and knowing this value helps understand how the total exposure time was built up and can be important for noise characterization or advanced data processing.",85,"This parameter is valuable for advanced users interested in data quality, noise properties, and understanding the observation strategy.",
NGROUPS,Number of groups per integration,Exposure,integer,Number of groups in integration,PRIMARY,JWST,False,"This keyword indicates the number of 'groups' of detector reads collected during a single integration for JWST. A group is an average of several individual frames, and more groups generally lead to longer effective exposure times and improved signal-to-noise ratio in the final data.",85,"This keyword is crucial for understanding the exposure strategy and effective integration time in non-destructive read modes, directly impacting data quality and analysis.",
NFRAMES,Number of frames in a group,Exposure,integer,Number of frames per group,PRIMARY,JWST,False,This keyword specifies the number of individual 'frames' (single detector reads) that are averaged together to form a single 'group' within a JWST exposure. Increasing the number of frames per group can help reduce read noise but might also influence cosmic ray persistence.,80,"This keyword defines the number of individual detector reads averaged into each group, directly influencing read noise characteristics and the data acquisition strategy.",
GROUPGAP,Number of frames skipped between groups,Exposure,integer,Number of frames dropped between groups,PRIMARY,JWST,False,This keyword indicates the number of individual frames that are skipped or discarded between consecutive 'groups' during a JWST exposure. These skipped frames do not contribute to the final averaged signal but are part of the detector readout sequence.,55,"This keyword describes skipped frames between groups, affecting the total observation timeline but not directly contributing to the integrated signal, making it more relevant for advanced timing analysis.",
NSAMPLES,Number of A/D samples per pixel read,Exposure,integer,Number of A/D samples per pixel,PRIMARY,JWST,False,This keyword denotes the number of analog-to-digital (A/D) samples taken for each pixel read within a single frame. Multiple samples can be averaged to reduce the A/D conversion noise.,30,"This keyword details the number of A/D samples per pixel read, a low-level detector characteristic primarily relevant for detailed noise analysis or instrument performance studies.",
TSAMPLE,Time between samples (microseconds),Exposure,float,[us] Time between samples,PRIMARY,JWST,False,"This keyword provides the time interval, in microseconds, between consecutive analog-to-digital samples taken for a given pixel. It describes the temporal resolution of the detector's sampling process.",25,"This keyword indicates the time between A/D samples, a very low-level timing parameter critical for instrument engineers but generally not for typical end-user data interpretation.",
TFRAME,Time between start of successive frames (seconds),Exposure,float,[s] Time between frames,PRIMARY,JWST,False,"This keyword specifies the time duration, in seconds, between the start of one data frame and the start of the next consecutive frame within a multi-frame exposure. It's crucial for understanding the timing of short integrations or how quickly data is read out in certain low-level modes, especially relevant for time-series observations.",45,"Useful for understanding low-level acquisition details and time-series analysis, but less so for general high-level science users.",
TGROUP,Time between start of successive groups (seconds),Exposure,float,[s] Time between groups,PRIMARY,JWST,False,"This keyword indicates the time, in seconds, from the start of one data group to the start of the next group in a detector ramp. In JWST's non-destructive readout, a ""group"" represents a set of frames combined. This value is fundamental to understanding the sampling rate of the detector ramp and calculating the total integration time per exposure.",75,"Crucial for understanding the integration time, noise properties, and overall data acquisition structure of JWST ramp data.",
READPATT,"Readout pattern name (pre-defined NFRAMES, GROUPGAP, NRESETS combination)",Exposure,string,Readout pattern,PRIMARY,JWST,False,"This keyword specifies the pre-defined name of the detector readout pattern used for the observation (e.g., RAPID, BRIGHT1, MEDIUM8). This pattern dictates parameters like the number of frames per group, gaps between groups, and reset frequency, which directly affect the data sampling strategy, noise characteristics, and dynamic range.",85,"Essential for understanding the data acquisition mode, noise properties, and potential saturation limits of JWST observations.",
EXP_TYPE,"Exposure type (e.g., MIR_IMAGE, NRC_IMAGE, NRS_MSASPEC)",Exposure,string,Type of data in the exposure,PRIMARY,JWST,False,"This keyword identifies the broad category of the observation, indicating the instrument mode and type of data acquired (e.g., direct imaging, spectroscopy, or coronagraphy). It also specifies which instrument (e.g., MIRI, NIRCam, NIRSpec) was used, making it fundamental for understanding the nature of the observation.",98,"Provides immediate context about the instrument and scientific purpose of the data, essential for all users.",
EXPRIPAR,"Whether exposure is PRIME, PARALLEL_COORDINATED, or PARALLEL_PURE",Exposure,string,prime or parallel exposure indicator,PRIMARY,JWST,False,"This keyword indicates whether the observation was the primary (PRIME) observation driving the telescope pointing, a coordinated parallel observation with another instrument, or a pure parallel observation taken opportunistically without dictating pointing. This affects how the observation fits into the overall observing program and its context within other datasets.",60,Useful for understanding the observation's role in the overall observing program and assessing its primary science intent and context.,
EXPCOUNT,Monotonically increasing exposure count within a visit,Exposure,integer,Running count of exposures in visit,PRIMARY,JWST,False,"This number indicates the sequence of the current exposure within a larger set of observations taken during a single observing program or 'visit'. It helps users understand if this particular data file represents the first, second, or a subsequent exposure in a series.",65,"This keyword is useful for advanced users to understand the sequence of observations within a visit or program, aiding in specific analysis workflows.",
DATAMODE,Post-processing method used in FPAP; maps to readout pattern,Exposure,integer,post-processing method used in FPAP,PRIMARY,JWST,False,"This keyword describes the specific readout pattern or post-processing method used by the instrument's detector to acquire the raw data. It influences how the raw data was collected and processed, which can affect its characteristics and quality.",45,This is a technical detail about instrument readout that might interest advanced users for specific analysis or understanding data artifacts.,
DATAPROB,Science telemetry indicated data problems (T or F),Exposure,boolean,Science telemetry indicated a problem,PRIMARY,JWST,False,This boolean flag indicates whether the instrument's internal telemetry detected any significant problems during the acquisition of this specific science data. A 'True' value suggests that there may have been issues with the data collection for this exposure.,80,"This keyword is highly relevant as it directly indicates potential quality issues with the science data, which is crucial for any user evaluating its reliability.",
DRPFRMS1,Number of frames dropped prior to first integration,Exposure,integer,Number of frames dropped before 1st integration,PRIMARY,JWST,False,This keyword indicates the number of individual detector frames that were discarded or 'dropped' by the instrument prior to the very first scientific integration (exposure) beginning. This process is typically done to allow the detector to stabilize before collecting science data.,30,"This is a very specific, low-level instrument operational detail about detector stabilization, rarely relevant for general or most advanced user analysis.",
DRPFRMS3,Number of frames dropped between integrations,Exposure,integer,Number of frames dropped between integrations,PRIMARY,JWST,False,"This keyword reports the number of detector frames dropped by the instrument between consecutive scientific integrations within a longer exposure sequence. Similar to DRPFRMS1, it relates to the internal process of detector stabilization during an observation.",30,"This is a very specific, low-level instrument operational detail about detector stabilization, rarely relevant for general or most advanced user analysis.",
NRESETS,Number of resets separating integrations within an exposure,Exposure,integer,Number of reset frames between integrations,PRIMARY,JWST,False,"This keyword indicates the number of times the detector pixels were reset between individual data collection periods, known as integrations, within a single observation. It's an internal operational parameter that affects how the detector manages charge and can influence noise properties. While important for instrument experts, it rarely impacts typical data interpretation.",35,This is a low-level detector operational detail mostly relevant for instrument specialists or deep noise analysis.,
NRSTSTRT,Number of resets at the start of exposure,Exposure,integer,Number of reset frames at start of exposure,PRIMARY,JWST,False,"This keyword specifies how many times the detector pixels were reset immediately before the first data integration of an exposure began. It's a fundamental parameter for initializing the detector and managing its dark current and noise characteristics at the start of an observation. Like NRESETS, it's primarily of interest to instrument engineers.",35,This is a low-level detector operational detail mostly relevant for instrument specialists or deep noise analysis.,
NOUTPUTS,"Number of detector amplifier outputs used (1, 4, or 5)",Exposure,integer,Number of detector outputs used,PRIMARY,JWST,False,"This keyword indicates the number of electronic amplifier channels used to read out the detector's data. Using multiple outputs (e.g., 1, 4, or 5 for JWST) typically allows for faster data acquisition but can introduce specific readout noise patterns or variations across the detector. Understanding this can be important for identifying certain data artifacts or optimizing data processing.",60,"This instrument configuration detail affects data quality and potential artifacts, useful for advanced users or troubleshooting.",
SCA_NUM,Sensor Chip Assembly number (1–18),Exposure,integer,Sensor Chip Assembly number,PRIMARY,JWST,False,"This keyword identifies the specific Sensor Chip Assembly (SCA), a physical detector chip, that was used to acquire the data. Many JWST instruments are mosaics made up of multiple SCAs, so this number (1-18) pinpoints which part of the instrument's focal plane collected the observations. It's useful for understanding the instrument's layout and correlating data with specific detector characteristics.",80,"This identifies the specific detector used, which is commonly useful for understanding instrument context and mosaic data.",
FRMDIVSR,Frame divisor used on-board when averaging multiple frames into a group,Exposure,integer,Divisor applied to frame-averaged groups,PRIMARY,JWST,False,"This keyword specifies the 'frame divisor' used, which is the number of individual detector frames that were averaged together on-board the spacecraft to form each 'group' of data. This on-board averaging helps reduce read noise but impacts the effective integration time per group and the temporal resolution of the observation. It's crucial for detailed noise modeling and understanding the effective signal-to-noise ratio.",75,"This parameter is important for understanding the effective integration time, noise properties, and overall data quality, especially for photometry.",
GAINFACT,Data scaling factor ratio between gain=2 and nominal gain=1,Exposure,float,Gain scale factor,PRIMARY,JWST,False,"This keyword specifies a scaling factor applied to the data, representing the ratio of a specific detector gain setting (gain=2) to a nominal gain setting (gain=1). It helps in understanding how detector sensitivity might be adjusted or characterized for different observations.",45,"This keyword provides instrument-specific calibration information, which is useful for advanced users but less critical for general display or common analysis.",
SCTARATE,Spacecraft clock time adjustment rate (milliseconds/second),Exposure,float,[ms/s] Spacecraft Clock Time Adjust RATE,PRIMARY,JWST,False,"This value indicates a very small adjustment rate applied to the spacecraft's internal clock time, measured in milliseconds per second. It is used internally to maintain highly precise timing for observations, correcting for any minor drift in the onboard clock.",15,"This is a highly technical, internal spacecraft clock calibration parameter with no direct impact on how an end-user views or interprets the astronomical data.",
